,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cartagena,CO,5.03,-75.64,2019-06-30T16:28:55Z,78.8,69,40,2.24
67,Mahebourg,MU,-20.41,57.7,2019-06-30T16:28:55Z,71.6,60,20,17.22
68,Cherskiy,RU,68.75,161.3,2019-06-30T16:28:55Z,37.64,93,100,7.4
69,Hermanus,ZA,-34.42,19.24,2019-06-30T16:28:56Z,59.0,64,0,1.99
70,Marsala,IT,37.8,12.44,2019-06-30T16:28:56Z,84.99,88,0,11.41
71,Mar del Plata,AR,-46.43,-67.52,2019-06-30T16:28:56Z,34.04,57,0,16.2
72,Avarua,CK,-21.21,-159.78,2019-06-30T16:25:10Z,71.6,60,88,9.17
73,Camopi,GF,3.17,-52.33,2019-06-30T16:28:56Z,78.86,95,63,2.91
74,Quito,EC,-0.22,-78.51,2019-06-30T16:26:34Z,68.0,34,40,5.82
75,Oistins,BB,13.07,-59.53,2019-06-30T16:28:56Z,87.8,66,75,26.4
76,Provideniya,RU,64.42,-173.23,2019-06-30T16:28:56Z,42.14,97,100,7.67
77,Zhangjiakou,CN,40.77,114.88,2019-06-30T16:28:57Z,56.18,56,0,6.91
78,Kruisfontein,ZA,-34.0,24.73,2019-06-30T16:28:57Z,62.48,51,47,5.23
79,Dufftown,GB,57.45,-3.13,2019-06-30T16:28:57Z,66.2,63,75,23.04
80,Marienburg,SR,5.88,-55.04,2019-06-30T16:28:57Z,82.4,83,75,9.17
81,Adrar,DZ,27.87,-0.29,2019-06-30T16:28:57Z,113.0,5,0,6.93
82,Meulaboh,ID,4.14,96.13,2019-06-30T16:28:57Z,85.34,62,0,3.31
83,Palmer,US,61.6,-149.11,2019-06-30T16:28:57Z,66.0,77,1,4.7
84,Hovd,MN,48.01,91.64,2019-06-30T16:28:58Z,69.32,37,41,5.48
85,Georgetown,SH,-7.93,-14.42,2019-06-30T16:28:58Z,75.98,80,79,22.7
86,Saldanha,ZA,-33.01,17.94,2019-06-30T16:28:58Z,55.4,82,97,21.92
87,Ilulissat,GL,69.22,-51.1,2019-06-30T16:28:58Z,39.2,80,75,8.05
88,Ketchikan,US,55.34,-131.65,2019-06-30T16:28:58Z,57.2,87,90,8.05
89,Hamilton,BM,32.3,-64.78,2019-06-30T16:28:58Z,80.6,78,75,12.75
90,Kibara,TZ,-2.15,33.45,2019-06-30T16:28:58Z,75.08,65,50,10.25
91,Souillac,MU,-20.52,57.52,2019-06-30T16:28:59Z,71.6,60,20,17.22
92,Butaritari,KI,3.07,172.79,2019-06-30T16:28:59Z,82.82,70,100,5.3
93,Baruun-Urt,MN,46.68,113.28,2019-06-30T16:28:59Z,54.92,68,61,1.77
94,Kununurra,AU,-15.77,128.74,2019-06-30T16:28:59Z,64.4,77,93,3.36
95,Astoria,US,46.19,-123.83,2019-06-30T16:28:59Z,64.0,77,75,3.36
96,Souris,CA,46.36,-62.25,2019-06-30T16:28:59Z,60.01,100,90,10.29
97,Demba,CD,-5.47,22.27,2019-06-30T16:29:00Z,95.42,17,0,1.86
98,Rocha,UY,-34.48,-54.34,2019-06-30T16:29:00Z,52.58,82,100,13.44
99,Lompoc,US,34.64,-120.46,2019-06-30T16:27:54Z,68.0,87,90,3.36
100,Puerto Madero,MX,14.72,-92.42,2019-06-30T16:29:00Z,75.2,94,90,2.53
101,Davenda,RU,53.56,119.32,2019-06-30T16:29:53Z,53.84,87,99,3.6
102,Turukhansk,RU,65.8,87.96,2019-06-30T16:29:53Z,59.96,59,64,10.96
103,Isla Vista,US,34.41,-119.86,2019-06-30T16:24:56Z,78.01,82,1,5.82
104,Barrow,US,39.51,-90.4,2019-06-30T16:29:53Z,88.0,66,1,5.82
105,Khuzhir,RU,53.19,107.35,2019-06-30T16:29:53Z,57.44,50,0,4.25
106,Arraial do Cabo,BR,-22.97,-42.02,2019-06-30T16:29:53Z,86.0,42,0,9.17
107,Zhigansk,RU,66.77,123.37,2019-06-30T16:29:54Z,58.88,47,20,4.21
108,Ponta do Sol,CV,17.2,-25.09,2019-06-30T16:29:54Z,84.2,54,20,20.8
109,Kaitangata,NZ,-46.28,169.85,2019-06-30T16:29:54Z,37.99,88,100,4.0
110,Kalabo,ZM,-15.0,22.67,2019-06-30T16:29:54Z,80.12,19,1,2.91
111,Zarubino,RU,42.65,131.06,2019-06-30T16:29:54Z,53.48,98,93,3.18
112,Oriximina,BR,-1.77,-55.87,2019-06-30T16:29:54Z,87.5,58,100,7.58
113,Parintins,BR,-2.63,-56.73,2019-06-30T16:29:54Z,85.7,71,99,4.99
114,Pevek,RU,69.7,170.27,2019-06-30T16:29:55Z,31.88,97,100,9.35
115,Ulagan,RU,50.63,87.96,2019-06-30T16:29:55Z,44.66,93,99,5.48
116,Dwarka,IN,28.58,77.04,2019-06-30T16:29:55Z,104.0,33,75,5.82
117,Kloulklubed,PW,7.04,134.26,2019-06-30T16:29:55Z,78.8,83,75,4.7
118,Douglas,US,31.51,-82.85,2019-06-30T16:29:55Z,86.0,69,75,5.82
